Id,typeOfComputationUsed,graphicalModelName,minAndMaxProbabilityofQueryequalsTrue,maxAndMaxProbabilityofQueryequalsTrue,IntervalLength,numberOfExtremePoints,allExplored,time,totaltime,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5
22,S-BP,Binary Tree Model,0.48434430124969685,0.484387723566226,4.3422316529151406E-5,4,false,20.288,71.24,4,5,0,0,0
23,S-BP,Binary Tree Model,0.484374211631319,0.484374211631319,0.0,1,false,20.18,91.41999999999999,4,5,0,0,0
24,SGDPLL,Binary Tree Model,0.484374211631319,0.484374211631319,0.0,0,true,26.83,26.83,4,5,0,0,0
0,S-BP,IsingModel2X2,0.0,1.0,1.0,2,false,0.0,0.0,2,2,0,0,0
1,S-BP,IsingModel2X2,0.13793103448275862,0.25925925925925924,0.12132822477650063,2,false,0.009,0.009,2,2,0,0,0
2,S-BP,IsingModel2X2,0.20863309352517986,0.25925925925925924,0.05062616573407938,2,false,0.013,0.022,2,2,0,0,0
3,S-BP,IsingModel2X2,0.20863309352517986,0.20863309352517986,0.0,1,false,0.032,0.054,2,2,0,0,0
4,SGDPLL,IsingModel2X2,0.20863309352517986,0.20863309352517986,0.0,0,true,0.006,0.006,2,2,0,0,0
0,S-BP,IsingModel3X3,0.0,1.0,1.0,2,false,0.0,0.0,3,3,0,0,0
1,S-BP,IsingModel3X3,0.0,1.0,1.0,3,false,0.01,0.01,3,3,0,0,0
2,S-BP,IsingModel3X3,0.0,1.0,1.0,3,false,0.01,0.02,3,3,0,0,0
3,S-BP,IsingModel3X3,0.0,0.6,0.6,8,false,0.03,0.05,3,3,0,0,0
4,S-BP,IsingModel3X3,0.0,0.6,0.6,8,false,0.057,0.10700000000000001,3,3,0,0,0
5,S-BP,IsingModel3X3,0.046703824716509704,1.0,0.9532961752834903,8,false,0.084,0.191,3,3,0,0,0
6,S-BP,IsingModel3X3,0.046703824716509704,1.0,0.9532961752834903,8,false,0.086,0.277,3,3,0,0,0
7,S-BP,IsingModel3X3,0.4334357338836386,0.5991279371561061,0.16569220327246753,16,false,0.211,0.488,3,3,0,0,0
8,S-BP,IsingModel3X3,0.44596686349825143,0.59804605722261,0.15207919372435852,8,false,0.22,0.708,3,3,0,0,0
9,S-BP,IsingModel3X3,0.4967120562707062,0.5195145814328213,0.02280252516211506,4,false,0.476,1.184,3,3,0,0,0
10,S-BP,IsingModel3X3,0.49940247975570173,0.5186936332496344,0.019291153493932622,4,false,0.705,1.8889999999999998,3,3,0,0,0
11,S-BP,IsingModel3X3,0.511780095409332,0.511780095409332,0.0,1,false,0.465,2.3539999999999996,3,3,0,0,0
12,SGDPLL,IsingModel3X3,0.511780095409332,0.511780095409332,0.0,0,true,0.407,0.407,3,3,0,0,0
0,S-BP,IsingModel3X4,0.0,1.0,1.0,2,false,0.0,0.0,3,4,0,0,0
1,S-BP,IsingModel3X4,0.7058823529411765,1.0,0.2941176470588235,4,false,0.011,0.011,3,4,0,0,0
2,S-BP,IsingModel3X4,0.7058823529411765,1.0,0.2941176470588235,4,false,0.013,0.024,3,4,0,0,0
3,S-BP,IsingModel3X4,0.7407407407407407,1.0,0.2592592592592593,8,false,0.031,0.055,3,4,0,0,0
4,S-BP,IsingModel3X4,0.7407407407407407,1.0,0.2592592592592593,8,false,0.067,0.122,3,4,0,0,0
5,S-BP,IsingModel3X4,0.7474226804123711,0.8484848484848485,0.10106216807247737,8,false,0.115,0.237,3,4,0,0,0
6,S-BP,IsingModel3X4,0.7474226804123711,0.8484848484848485,0.10106216807247737,8,false,0.117,0.354,3,4,0,0,0
7,S-BP,IsingModel3X4,0.7599486521181001,0.8484848484848485,0.08853619636674837,16,false,0.257,0.611,3,4,0,0,0
8,S-BP,IsingModel3X4,0.7599486521181001,0.8484848484848485,0.08853619636674837,16,false,0.208,0.819,3,4,0,0,0
